Unnamed: 0,sms,spam,Unnamed: 3,sms_processed,tokens
12,I love u 2 babe! R u sure everything is alrite. Is he being an idiot? Txt bak girlie,False,,i love u 2 babe r u sure everything is alrite is he being an idiot txt bak girlie,"['love', 'u', '2', 'babe', 'r', 'u', 'sure', 'everything', 'alrite', 'idiot', 'txt', 'bak', 'girlie']"
13,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,False,,just forced myself to eat a slice im really not hungry tho this sucks mark is getting worried he knows im sick when i turn down pizza lol,"['forced', 'eat', 'slice', 'im', 'really', 'hungry', 'tho', 'sucks', 'mark', 'getting', 'worried', 'knows', 'im', 'sick', 'turn', 'pizza', 'lol']"
14,"When I was born, GOD said, ""Oh No! Another IDIOT"". When you were born, GOD said, ""OH No! COMPETITION"". Who knew, one day these two will become FREINDS FOREVER!",False,,when i was born god said oh no another idiot when you were born god said oh no competition who knew one day these two will become freinds forever,"['born', 'god', 'said', 'oh', 'another', 'idiot', 'born', 'god', 'said', 'oh', 'competition', 'knew', 'one', 'day', 'two', 'become', 'freinds', 'forever']"
15,"naughty little thought: 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt",False,,naughty little thought its better to flirt flirt n flirt rather than loving someone n gettin hurt hurt n hurt gud nyt,"['naughty', 'little', 'thought', 'better', 'flirt', 'flirt', 'n', 'flirt', 'rather', 'loving', 'someone', 'n', 'gettin', 'hurt', 'hurt', 'n', 'hurt', 'gud', 'nyt']"
16,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.,False,,ltgt ish minutes was 5 minutes ago wtf,"['ltgt', 'ish', 'minutes', '5', 'minutes', 'ago', 'wtf']"
17,"Evry Emotion dsn't hav Words.Evry Wish dsn't hav Prayrs.. If u Smile,D World is wit u.Othrwise even d Drop of Tear dsn't lik 2 Stay wit u.So b happy.. Good morning, keep smiling:-)",False,,evry emotion dsnt hav wordsevry wish dsnt hav prayrs if u smiled world is wit uothrwise even d drop of tear dsnt lik 2 stay wit uso b happy good morning keep smiling,"['evry', 'emotion', 'dsnt', 'hav', 'wordsevry', 'wish', 'dsnt', 'hav', 'prayrs', 'u', 'smiled', 'world', 'wit', 'uothrwise', 'even', 'drop', 'tear', 'dsnt', 'lik', '2', 'stay', 'wit', 'uso', 'b', 'happy', 'good', 'morning', 'keep', 'smiling']"
18,Well there's a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that I'm a /make them smoke too much/impede their doing other things so you see how I'm hesitant,False,,well theres a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that im a make them smoke too muchimpede their doing other things so you see how im hesitant,"['well', 'theres', 'pattern', 'emerging', 'friends', 'telling', 'drive', 'come', 'smoke', 'telling', 'im', 'make', 'smoke', 'muchimpede', 'things', 'see', 'im', 'hesitant']"
19,Get me out of this dump heap. My mom decided to come to lowes. BORING.,False,,get me out of this dump heap my mom decided to come to lowes boring,"['get', 'dump', 'heap', 'mom', 'decided', 'come', 'lowes', 'boring']"
20,"Sorry I flaked last night,  seriously goin down with my roommate, what you up to tonight?",False,,sorry i flaked last night  seriously goin down with my roommate what you up to tonight,"['sorry', 'flaked', 'last', 'night', 'seriously', 'goin', 'roommate', 'tonight']"
21,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x,False,,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full  im still waitin 4 1 pete x,"['cud', 'u', 'tell', 'ppl', 'im', 'gona', 'b', 'bit', 'l8', 'cos', '2', 'buses', 'hav', 'gon', 'past', 'cos', 'full', 'im', 'still', 'waitin', '4', '1', 'pete', 'x']"
22,What i told before i tell. Stupid hear after i wont tell anything to you. You dad called to my brother and spoken. Not with me.,False,,what i told before i tell stupid hear after i wont tell anything to you you dad called to my brother and spoken not with me,"['told', 'tell', 'stupid', 'hear', 'wont', 'tell', 'anything', 'dad', 'called', 'brother', 'spoken']"
23,Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss,False,,hello my little party animal i just thought id buzz you as you were with your friends grins reminding you were loved and send a naughty adoring kiss,"['hello', 'little', 'party', 'animal', 'thought', 'id', 'buzz', 'friends', 'grins', 'reminding', 'loved', 'send', 'naughty', 'adoring', 'kiss']"
24,SORRY IM STIL  AFTER LAST NITE WENT TOBED AT 430 GOT UP 4 WORK AT 630,False,,sorry im stil  after last nite went tobed at 430 got up 4 work at 630,"['sorry', 'im', 'stil', 'last', 'nite', 'went', 'tobed', '430', 'got', '4', 'work', '630']"
25,"Just looked it up and addie goes back Monday, sucks to be her",False,,just looked it up and addie goes back monday sucks to be her,"['looked', 'addie', 'goes', 'back', 'monday', 'sucks']"
26,Am on a train back from northampton so i'm afraid not! I'm staying skyving off today ho ho! Will be around wednesday though. Do you fancy the comedy club this week by the way?,False,,am on a train back from northampton so im afraid not im staying skyving off today ho ho will be around wednesday though do you fancy the comedy club this week by the way,"['train', 'back', 'northampton', 'im', 'afraid', 'im', 'staying', 'skyving', 'today', 'ho', 'ho', 'around', 'wednesday', 'though', 'fancy', 'comedy', 'club', 'week', 'way']"
27,That sucks. I'll go over so u can do my hair. You'll do it free right?,False,,that sucks ill go over so u can do my hair youll do it free right,"['sucks', 'ill', 'go', 'u', 'hair', 'youll', 'free', 'right']"
28,How stupid to say that i challenge god.You dont think at all on what i write instead you respond immed.,False,,how stupid to say that i challenge godyou dont think at all on what i write instead you respond immed,"['stupid', 'say', 'challenge', 'godyou', 'dont', 'think', 'write', 'instead', 'respond', 'immed']"
29,"&lt;#&gt; %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  &lt;#&gt;  frnds in &lt;#&gt;  mins whn u read...",False,,ltgt of pple marry with their lovers becz they hav gud undrstndng dat avoids problems i sent dis 2 u u wil get gud news on friday by d person you like and tomorrow will be the best day of your life dont break this chain if you break you will suffer send this to  ltgt  frnds in ltgt  mins whn u read,"['ltgt', 'pple', 'marry', 'lovers', 'becz', 'hav', 'gud', 'undrstndng', 'dat', 'avoids', 'problems', 'sent', 'dis', '2', 'u', 'u', 'wil', 'get', 'gud', 'news', 'friday', 'person', 'like', 'tomorrow', 'best', 'day', 'life', 'dont', 'break', 'chain', 'break', 'suffer', 'send', 'ltgt', 'frnds', 'ltgt', 'mins', 'whn', 'u', 'read']"
30,Stupid.its not possible,False,,stupidits not possible,"['stupidits', 'possible']"
31,Stupid.its not possible,False,,stupidits not possible,"['stupidits', 'possible']"
32,Stupid.its not possible,False,,stupidits not possible,"['stupidits', 'possible']"
33,You'd like that wouldn't you? !,False,,youd like that wouldnt you ,"['youd', 'like', 'wouldnt']"
34,Lol I would but my mom would  and tell the whole family how  and  I am,False,,lol i would but my mom would  and tell the whole family how  and  i am,"['lol', 'would', 'mom', 'would', 'tell', 'whole', 'family']"
35,"Feb  &lt;#&gt;  is ""I LOVE U"" day. Send dis to all ur ""VALUED FRNDS"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr",False,,feb  ltgt  is i love u day send dis to all ur valued frnds evn me if 3 comes back ull gt married d person u luv if u ignore dis u will lose ur luv 4 evr,"['feb', 'ltgt', 'love', 'u', 'day', 'send', 'dis', 'ur', 'valued', 'frnds', 'evn', '3', 'comes', 'back', 'ull', 'gt', 'married', 'person', 'u', 'luv', 'u', 'ignore', 'dis', 'u', 'lose', 'ur', 'luv', '4', 'evr']"
36,"Feb  &lt;#&gt;  is ""I LOVE U"" day. Send dis to all ur ""VALUED FRNDS"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr",False,,feb  ltgt  is i love u day send dis to all ur valued frnds evn me if 3 comes back ull gt married d person u luv if u ignore dis u will lose ur luv 4 evr,"['feb', 'ltgt', 'love', 'u', 'day', 'send', 'dis', 'ur', 'valued', 'frnds', 'evn', '3', 'comes', 'back', 'ull', 'gt', 'married', 'person', 'u', 'luv', 'u', 'ignore', 'dis', 'u', 'lose', 'ur', 'luv', '4', 'evr']"
37,hi baby im sat on the  bus at the mo and i wont be home until about 7:30 wanna do somethin later? call me later ortxt back jess xx,False,,hi baby im sat on the  bus at the mo and i wont be home until about 730 wanna do somethin later call me later ortxt back jess xx,"['hi', 'baby', 'im', 'sat', 'bus', 'mo', 'wont', 'home', '730', 'wan', 'na', 'somethin', 'later', 'call', 'later', 'ortxt', 'back', 'jess', 'xx']"
38,Haf u found him? I feel so stupid da v cam was working.,False,,haf u found him i feel so stupid da v cam was working,"['haf', 'u', 'found', 'feel', 'stupid', 'da', 'v', 'cam', 'working']"
39,U really pig leh sleep so much. My dad wake me up at 10 smth 2 eat lunch today.,False,,u really pig leh sleep so much my dad wake me up at 10 smth 2 eat lunch today,"['u', 'really', 'pig', 'leh', 'sleep', 'much', 'dad', 'wake', '10', 'smth', '2', 'eat', 'lunch', 'today']"
40,How do friends help us in problems? They give the most stupid suggestion that Lands us into another problem and helps us forgt the previous problem,False,,how do friends help us in problems they give the most stupid suggestion that lands us into another problem and helps us forgt the previous problem,"['friends', 'help', 'us', 'problems', 'give', 'stupid', 'suggestion', 'lands', 'us', 'another', 'problem', 'helps', 'us', 'forgt', 'previous', 'problem']"
41,"""BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & IÂ’LLSPEAK 2U SOONLOTS OF LOVEME XXXX.""",False,,boo babe u enjoyin yourjob u seemed 2 b gettin on well hunnyhope ure oktake care  iâllspeak 2u soonlots of loveme xxxx,"['boo', 'babe', 'u', 'enjoyin', 'yourjob', 'u', 'seemed', '2', 'b', 'gettin', 'well', 'hunnyhope', 'ure', 'oktake', 'care', 'iâllspeak', '2u', 'soonlots', 'loveme', 'xxxx']"
42,"cmon babe, make me , ! Txt me  now babe -) Im . All replies cost Â£1.50. 2 cancel send STOP",True,,cmon babe make me   txt me  now babe  im  all replies cost â150 2 cancel send stop,"['cmon', 'babe', 'make', 'txt', 'babe', 'im', 'replies', 'cost', 'â150', '2', 'cancel', 'send', 'stop']"
43,1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-),False,,1appledayno doctor 1tulsi leafdayno cancer 1lemondayno fat 1cup milkdayno bone problms 3 litres watrdayno diseases snd ths 2 whom u care,"['1appledayno', 'doctor', '1tulsi', 'leafdayno', 'cancer', '1lemondayno', 'fat', '1cup', 'milkdayno', 'bone', 'problms', '3', 'litres', 'watrdayno', 'diseases', 'snd', 'ths', '2', 'u', 'care']"
44,An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-),False,,an excellent thought by a misundrstud frnd i knw u hate me bt the day wen ull knw the truth ull hate urself gn,"['excellent', 'thought', 'misundrstud', 'frnd', 'knw', 'u', 'hate', 'bt', 'day', 'wen', 'ull', 'knw', 'truth', 'ull', 'hate', 'urself', 'gn']"
45,For real tho this sucks. I can't even cook my whole electricity is out. And I'm hungry.,False,,for real tho this sucks i cant even cook my whole electricity is out and im hungry,"['real', 'tho', 'sucks', 'cant', 'even', 'cook', 'whole', 'electricity', 'im', 'hungry']"
46,Hurry home u . Hang up on your last caller if u have to. Food is done and I'm starving. Don't ask what I cooked.,False,,hurry home u  hang up on your last caller if u have to food is done and im starving dont ask what i cooked,"['hurry', 'home', 'u', 'hang', 'last', 'caller', 'u', 'food', 'done', 'im', 'starving', 'dont', 'ask', 'cooked']"
47,That sucks. So what do you got planned for your yo valentine? I am your yo valentine aren't I?,False,,that sucks so what do you got planned for your yo valentine i am your yo valentine arent i,"['sucks', 'got', 'planned', 'yo', 'valentine', 'yo', 'valentine', 'arent']"
48,"And stop wondering ""wow is she ever going to stop tm'ing me ?!"" because I will tm you whenever I want because you are MINE ... *laughs*",False,,and stop wondering wow is she ever going to stop tming me  because i will tm you whenever i want because you are mine  laughs,"['stop', 'wondering', 'wow', 'ever', 'going', 'stop', 'tming', 'tm', 'whenever', 'want', 'mine', 'laughs']"
49,A little. Meds say take once every 8 hours. It's only been 5 but pain is back. So I took another. Hope I don't die,False,,a little meds say take once every 8 hours its only been 5 but pain is back so i took another hope i dont die,"['little', 'meds', 'say', 'take', 'every', '8', 'hours', '5', 'pain', 'back', 'took', 'another', 'hope', 'dont', 'die']"
50,You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?,False,,youre not sure that im not trying to make xavier smoke because i dont want to smoke after being told i smoke too much,"['youre', 'sure', 'im', 'trying', 'make', 'xavier', 'smoke', 'dont', 'want', 'smoke', 'told', 'smoke', 'much']"
51,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz , I'm basically GOOD",False,,today is sorry day if ever i was angry with you if ever i misbehaved or hurt you plz plz  im basically good,"['today', 'sorry', 'day', 'ever', 'angry', 'ever', 'misbehaved', 'hurt', 'plz', 'plz', 'im', 'basically', 'good']"
52,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz , I'm basically GOOD",False,,today is sorry day if ever i was angry with you if ever i misbehaved or hurt you plz plz  im basically good,"['today', 'sorry', 'day', 'ever', 'angry', 'ever', 'misbehaved', 'hurt', 'plz', 'plz', 'im', 'basically', 'good']"
53,I wud never mind if u dont miss me or if u dont need me.. But u wil really hurt me wen u need me &amp; u dont tell me......... Take care:-),False,,i wud never mind if u dont miss me or if u dont need me but u wil really hurt me wen u need me amp u dont tell me take care,"['wud', 'never', 'mind', 'u', 'dont', 'miss', 'u', 'dont', 'need', 'u', 'wil', 'really', 'hurt', 'wen', 'u', 'need', 'amp', 'u', 'dont', 'tell', 'take', 'care']"
54,"What are you doing in langport? Sorry, but I'll probably be in bed by 9pm. It sucks being ill at xmas! When do you and go2sri lanka?",False,,what are you doing in langport sorry but ill probably be in bed by 9pm it sucks being ill at xmas when do you and go2sri lanka,"['langport', 'sorry', 'ill', 'probably', 'bed', '9pm', 'sucks', 'ill', 'xmas', 'go2sri', 'lanka']"
55,Stupid auto correct on my phone,False,,stupid auto correct on my phone,"['stupid', 'auto', 'correct', 'phone']"
56,"I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...",False,,im nt goin got somethin on unless they meetin 4 dinner lor haha i wonder who will go tis time,"['im', 'nt', 'goin', 'got', 'somethin', 'unless', 'meetin', '4', 'dinner', 'lor', 'haha', 'wonder', 'go', 'tis', 'time']"
57,Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a  tonight come round if you like.,False,,hope ur head doesnt hurt 2 much  am ploughing my way through a pile of ironing  staying in with a  tonight come round if you like,"['hope', 'ur', 'head', 'doesnt', 'hurt', '2', 'much', 'ploughing', 'way', 'pile', 'ironing', 'staying', 'tonight', 'come', 'round', 'like']"
58,i am seeking a  and a . Is that you?,False,,i am seeking a  and a  is that you,['seeking']
59,"Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up...",False,,oh haha den we shld had went today too gee nvm la kaiez i dun mind goin jazz oso scared hiphop open cant catch up,"['oh', 'haha', 'den', 'shld', 'went', 'today', 'gee', 'nvm', 'la', 'kaiez', 'dun', 'mind', 'goin', 'jazz', 'oso', 'scared', 'hiphop', 'open', 'cant', 'catch']"
60,Go fool dont cheat others ok,False,,go fool dont cheat others ok,"['go', 'fool', 'dont', 'cheat', 'others', 'ok']"
61,I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...,False,,i dont run away frm u i walk slowly amp it kills me that u dont care enough to stop me,"['dont', 'run', 'away', 'frm', 'u', 'walk', 'slowly', 'amp', 'kills', 'u', 'dont', 'care', 'enough', 'stop']"
62,I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...,False,,i dont run away frm u i walk slowly amp it kills me that u dont care enough to stop me,"['dont', 'run', 'away', 'frm', 'u', 'walk', 'slowly', 'amp', 'kills', 'u', 'dont', 'care', 'enough', 'stop']"
63,I've been barred from all B and Q stores for life!?This  in orange dungerees came up to me and asked if I wanted decking? So I got the first punch in!!,False,,ive been barred from all b and q stores for lifethis  in orange dungerees came up to me and asked if i wanted decking so i got the first punch in,"['ive', 'barred', 'b', 'q', 'stores', 'lifethis', 'orange', 'dungerees', 'came', 'asked', 'wanted', 'decking', 'got', 'first', 'punch']"
64, :) are you ready to  as well?,False,,  are you ready to  as well,"['ready', 'well']"
65,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,False,,i know grumpy old people my mom was like you better not be lying then again i am always the one to play jokes,"['know', 'grumpy', 'old', 'people', 'mom', 'like', 'better', 'lying', 'always', 'one', 'play', 'jokes']"
66,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",False,,wen ur lovable bcums angry wid u dnt take it seriously coz being angry is d most childish n true way of showing deep affection care n luv kettoda manda have nice day da,"['wen', 'ur', 'lovable', 'bcums', 'angry', 'wid', 'u', 'dnt', 'take', 'seriously', 'coz', 'angry', 'childish', 'n', 'true', 'way', 'showing', 'deep', 'affection', 'care', 'n', 'luv', 'kettoda', 'manda', 'nice', 'day', 'da']"
67,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",False,,wen ur lovable bcums angry wid u dnt take it seriously coz being angry is d most childish n true way of showing deep affection care n luv kettoda manda have nice day da,"['wen', 'ur', 'lovable', 'bcums', 'angry', 'wid', 'u', 'dnt', 'take', 'seriously', 'coz', 'angry', 'childish', 'n', 'true', 'way', 'showing', 'deep', 'affection', 'care', 'n', 'luv', 'kettoda', 'manda', 'nice', 'day', 'da']"
68,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",False,,wen ur lovable bcums angry wid u dnt take it seriously coz being angry is d most childish n true way of showing deep affection care n luv kettoda manda have nice day da,"['wen', 'ur', 'lovable', 'bcums', 'angry', 'wid', 'u', 'dnt', 'take', 'seriously', 'coz', 'angry', 'childish', 'n', 'true', 'way', 'showing', 'deep', 'affection', 'care', 'n', 'luv', 'kettoda', 'manda', 'nice', 'day', 'da']"
69,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",False,,wen ur lovable bcums angry wid u dnt take it seriously coz being angry is d most childish n true way of showing deep affection care n luv kettoda manda have nice day da,"['wen', 'ur', 'lovable', 'bcums', 'angry', 'wid', 'u', 'dnt', 'take', 'seriously', 'coz', 'angry', 'childish', 'n', 'true', 'way', 'showing', 'deep', 'affection', 'care', 'n', 'luv', 'kettoda', 'manda', 'nice', 'day', 'da']"
70,"OH YEAH,AND HAV A GREAT TIME IN NEWQUAY-SEND ME A POSTCARD !1 LOOK AFTER ALL THE GIRLS WHILE IM GONE(U KNOW THE 1IM TALKIN BOUT!)xx",False,,oh yeahand hav a great time in newquaysend me a postcard 1 look after all the girls while im goneu know the 1im talkin boutxx,"['oh', 'yeahand', 'hav', 'great', 'time', 'newquaysend', 'postcard', '1', 'look', 'girls', 'im', 'goneu', 'know', '1im', 'talkin', 'boutxx']"
71,Hey I am really  want to chat or  text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,True,,hey i am really  want to chat or  text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,"['hey', 'really', 'want', 'chat', 'text', 'hot', '69698', 'text', 'charged', '150pm', 'unsubscribe', 'text', 'stop', '69698']"
72,Okie but i scared u say i ... Then u dun wan me already...,False,,okie but i scared u say i  then u dun wan me already,"['okie', 'scared', 'u', 'say', 'u', 'dun', 'wan', 'already']"
73,I'm sick !! I'm needy !! I want you !! *pouts* *stomps feet* Where are you ?! *pouts* *stomps feet*  !! I want him now !!,False,,im sick  im needy  i want you  pouts stomps feet where are you  pouts stomps feet   i want him now ,"['im', 'sick', 'im', 'needy', 'want', 'pouts', 'stomps', 'feet', 'pouts', 'stomps', 'feet', 'want']"
74,I love ya too but try and budget your money better babe. Gary would freak on me if he knew,False,,i love ya too but try and budget your money better babe gary would freak on me if he knew,"['love', 'ya', 'try', 'budget', 'money', 'better', 'babe', 'gary', 'would', 'freak', 'knew']"
75,Where's mummy's boy ? Is he being good or bad ? Is he being positive or negative ? Why is mummy being made to wait? Hmmmm?,False,,wheres mummys boy  is he being good or bad  is he being positive or negative  why is mummy being made to wait hmmmm,"['wheres', 'mummys', 'boy', 'good', 'bad', 'positive', 'negative', 'mummy', 'made', 'wait', 'hmmmm']"
76,From someone not to smoke when every time I've smoked in the last two weeks is because of you calling or texting me that you wanted to smoke,False,,from someone not to smoke when every time ive smoked in the last two weeks is because of you calling or texting me that you wanted to smoke,"['someone', 'smoke', 'every', 'time', 'ive', 'smoked', 'last', 'two', 'weeks', 'calling', 'texting', 'wanted', 'smoke']"
77,V skint too but fancied few bevies.waz gona go meet &othrs in spoon but jst bin watchng planet earth&sofa is v comfey; If i dont make it hav gd night,False,,v skint too but fancied few bevieswaz gona go meet othrs in spoon but jst bin watchng planet earthsofa is v comfey if i dont make it hav gd night,"['v', 'skint', 'fancied', 'bevieswaz', 'gona', 'go', 'meet', 'othrs', 'spoon', 'jst', 'bin', 'watchng', 'planet', 'earthsofa', 'v', 'comfey', 'dont', 'make', 'hav', 'gd', 'night']"
78,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,False,,im ok wif it cos i like 2 try new things but i scared u dun like mah cos u said not too loud,"['im', 'ok', 'wif', 'cos', 'like', '2', 'try', 'new', 'things', 'scared', 'u', 'dun', 'like', 'mah', 'cos', 'u', 'said', 'loud']"
79,Where did u go? My phone is gonna die you have to stay in here,False,,where did u go my phone is gonna die you have to stay in here,"['u', 'go', 'phone', 'gon', 'na', 'die', 'stay']"
80,He like not v shock leh. Cos telling shuhui is like telling leona also. Like dat almost all know liao. He got ask me abt ur reaction lor.,False,,he like not v shock leh cos telling shuhui is like telling leona also like dat almost all know liao he got ask me abt ur reaction lor,"['like', 'v', 'shock', 'leh', 'cos', 'telling', 'shuhui', 'like', 'telling', 'leona', 'also', 'like', 'dat', 'almost', 'know', 'liao', 'got', 'ask', 'abt', 'ur', 'reaction', 'lor']"
81,No that just means you have a fat head,False,,no that just means you have a fat head,"['means', 'fat', 'head']"
82,Idk. I'm sitting here in a stop and shop parking lot right now bawling my eyes out because i feel like i'm a failure in everything. Nobody wants me and now i feel like i'm failing you.,False,,idk im sitting here in a stop and shop parking lot right now bawling my eyes out because i feel like im a failure in everything nobody wants me and now i feel like im failing you,"['idk', 'im', 'sitting', 'stop', 'shop', 'parking', 'lot', 'right', 'bawling', 'eyes', 'feel', 'like', 'im', 'failure', 'everything', 'nobody', 'wants', 'feel', 'like', 'im', 'failing']"
83,Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman  Eleven plus two =Twelve plus one Its Amazing... !:-),False,,amazing  if you rearrange these letters it gives the same meaning dormitory  dirty room astronomer  moon starer the eyes  they see election results  lies lets recount motherinlaw  woman  eleven plus two twelve plus one its amazing ,"['amazing', 'rearrange', 'letters', 'gives', 'meaning', 'dormitory', 'dirty', 'room', 'astronomer', 'moon', 'starer', 'eyes', 'see', 'election', 'results', 'lies', 'lets', 'recount', 'motherinlaw', 'woman', 'eleven', 'plus', 'two', 'twelve', 'plus', 'one', 'amazing']"
84,Leave it. U will always be ignorant.,False,,leave it u will always be ignorant,"['leave', 'u', 'always', 'ignorant']"
85,"Hello lover! How goes that new job? Are you there now? Are you happy? Do you think of me? I wake, my  and send you a teasing kiss from across the sea",False,,hello lover how goes that new job are you there now are you happy do you think of me i wake my  and send you a teasing kiss from across the sea,"['hello', 'lover', 'goes', 'new', 'job', 'happy', 'think', 'wake', 'send', 'teasing', 'kiss', 'across', 'sea']"
86,Ugh. Gotta drive back to sd from la. My butt is sore.,False,,ugh gotta drive back to sd from la my butt is sore,"['ugh', 'got', 'ta', 'drive', 'back', 'sd', 'la', 'butt', 'sore']"
87,Ya that one is slow as poo,False,,ya that one is slow as poo,"['ya', 'one', 'slow', 'poo']"
88,Lovely smell on this bus and it ain't tobacco...,False,,lovely smell on this bus and it aint tobacco,"['lovely', 'smell', 'bus', 'aint', 'tobacco']"
89,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i,False,,eh u remember how 2 spell his name yes i did he v naughty make until i,"['eh', 'u', 'remember', '2', 'spell', 'name', 'yes', 'v', 'naughty', 'make']"
